census_block_group,population,elderly_percentage,income,affected_one_ring,Yi_avg_loss_ratio,relief_m,area_km2,road_density_km_per_km2,population_density,centroid_lon,centroid_lat,centroid_x_m,centroid_y_m,zero_vehicle_rate
060373018012,2758.0,18.4191,75901,0,0.4,18.00587463,0.338870789,23.26916004,8138.795333,-118.2598979,34.15449134,160435.4025,-427556.631,0.1330049261083744
060373018013,1451.0,10.4066,72321,0,0.367857143,21.42234802,0.282285914,29.04862551,5140.178549,-118.2596598,34.15777227,160450.6754,-427192.2986,0.1302170283806344
060373018021,2932.0,14.9727,67250,0,-1.449107143,15.26445007,0.301211635,19.37631978,9734.019722,-118.2596514,34.14829427,160470.7506,-428243.6049,0.0929235167977126
060373018022,2555.0,11.3112,103819,0,0.067857143,15.4720459,0.177813722,18.98352569,14368.96981,-118.2597891,34.15077219,160453.0026,-427968.9835,0.0993500464252553
060373020021,840.0,5.4762,52713,0,0.33125,9.521377563,0.18295285,24.48345588,4591.346884,-118.2524261,34.14789185,161137.7082,-428275.9871,0.2464788732394366
060373020022,2709.0,18.457,54883,0,-0.088888889,11.18536377,0.162696504,27.03707383,16650.63435,-118.2514449,34.15033453,161223.1802,-428003.3734,0.0544554455445544
060373020023,395.0,13.9241,53375,0,0.675320513,13.31419373,0.157138565,20.05435942,2513.705023,-118.2473682,34.14944828,161600.8428,-428094.737,0.0573065902578796
060373020031,2269.0,17.3204,68168,0,0.157142857,12.71109009,0.135065489,24.49111088,16799.25801,-118.243023,34.14892034,162002.5249,-428145.8811,0.1232876712328767
060373020041,2343.0,18.6513,83958,0,0.008333333,11.6151123,0.169894308,17.55015748,13790.92699,-118.2374121,34.14824447,162521.216,-428211.2473,0.1167883211678832
060373021021,1217.0,13.0649,89938,0,-0.75,88.3086853,0.246961975,17.30802956,4927.884134,-118.2309559,34.13781782,163138.0244,-429356.6869,0.0120481927710843
060373021022,1148.0,29.4425,84302,0,1.0,24.42318726,0.178754845,18.93605285,6422.203544,-118.2363963,34.13605729,162640.0168,-429561.3121,0.2004555808656036
060373021023,1589.0,28.1309,61768,0,0.241666667,11.32080078,0.200909214,20.27958741,7909.044917,-118.238471,34.1377289,162445.2648,-429379.4539,0.345572354211663
060373021024,666.0,17.1171,89000,0,1.0,49.30551147,0.145401477,26.34018356,4580.421149,-118.2395456,34.1332936,162355.3167,-429873.2566,0.1060070671378091
